"","Title","author","outlet","links"
"90","
        
            With recent setbacks, is North Carolina's solar power industry cooling off?
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/local/2022/10/13/solar-power-north-carolina-to-keep-growing-despite-recent-setbacks/69520307007/"
"91","
        
            With recent setbacks, is North Carolina's solar power industry cooling off?
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/local/2022/10/13/solar-power-north-carolina-to-keep-growing-despite-recent-setbacks/69520307007/"
"92","
        
            Learning from Hurricane Ian: Why we should prepare for more storms like it
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/2022/10/10/hurricane-ian-is-a-sign-of-storms-to-come-due-to-climate-change/69534138007/"
"93","
        
            Learning from Hurricane Ian: Why we should prepare for more storms like it
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/2022/10/10/hurricane-ian-is-a-sign-of-storms-to-come-due-to-climate-change/69534138007/"
"94","
        
            Why what happens in Florida doesn't stay in Florida: What Ian means for NC insurance rates
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/2022/10/07/hurricane-ian-nc-insurance-rates/69534137007/"
"95","
        
            Why what happens in Florida doesn't stay in Florida: What Ian means for NC insurance rates
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/2022/10/07/hurricane-ian-nc-insurance-rates/69534137007/"
"96","
        
            How important is climate change to NC voters in the 2022 midterm elections?
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/local/2022/10/03/climate-change-worries-nc-voters-but-isnt-a-major-issue-at-ballot-box/69498437007/"
"97","
        
            Years after Hurricanes Florence and Matthew, resiliency the focus of NC recovery efforts
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/2022/09/27/hurricane-florence-resiliency-the-focus-as-nc-recovery-continues/8025519001/"
"98","
        
            Does tech-giant Apple still own 3,600 acres of forestland in Brunswick County? What we know
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/2022/09/25/does-apple-inc-still-own-3600-acres-of-forest-land-in-brunswick-county-north-carolina/7895899001/"
"99","
        
            Wilmington Star-News
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/restricted/?return=https%3A%2F%2Fwww.starnewsonline.com%2Fin-depth%2Fnews%2F2022%2F09%2F20%2Fmany-east-coast-states-cant-show-they-prepared-climate-change%2F7836594001%2F%3Freturn%3Dhttps%3A%2F%2Fwww.starnewsonline.com%2Fin-depth%2Fnews%2F2022%2F09%2F20%2Fmany-east-coast-states-cant-show-they-prepared-climate-change%2F7836594001%2F"
"100","
        
            Not all East Coast states have a plan for protecting citizens from the climate crisis
        
    ","Kim Strong","Ellwood City Ledger","https://www.ellwoodcityledger.com/in-depth/news/2022/09/20/many-east-coast-states-cant-show-they-prepared-climate-change/7836594001/"
"101","
        
            Environmental justice board hears concerns about wood pellet plants
        
    ","David Boraks","Blue Ridge Public Radio","https://www.bpr.org/2022-11-18/environmental-justice-board-hears-concerns-about-wood-pellet-plants"
"102","
        
            Environmental justice board hears concerns about wood pellet plants
        
    ","David Boraks","WUNC-FM (Chapel Hill, NC)","https://www.wunc.org/2022-11-18/environmental-justice-board-hears-concerns-about-wood-pellet-plants"
"103","
        
            Environmental justice board hears concerns about wood pellet plants
        
    ","David Boraks","WFAE-FM (Charlotte, NC)","https://www.wfae.org/energy-environment/2022-11-18/environmental-justice-board-hears-concerns-about-wood-pellet-plants"
"104","
        
            Environmental justice board hears concerns about wood pellet plants
        
    ","David Boraks","WHQR-FM (Wilmington, NC)","https://www.whqr.org/2022-11-18/environmental-justice-board-hears-concerns-about-wood-pellet-plants"
"105","
        
            Rising cost to update Mecklenburg recycling center means higher fees
        
    ","David Boraks","wfae.prod.npr.psdops.com","https://wfae.prod.npr.psdops.com/energy-environment/2022-11-15/rising-cost-to-update-mecklenburg-recycling-center-means-higher-fees"
"106","
        
            Rising cost to update Mecklenburg recycling center means higher fees
        
    ","David Boraks","WFAE-FM (Charlotte, NC)","https://www.wfae.org/energy-environment/2022-11-15/rising-cost-to-update-mecklenburg-recycling-center-means-higher-fees"
"107","
        
            Scientists oppose Duke Energy plans for more gas-fired plants
        
    ","David Boraks","Blue Ridge Public Radio","https://www.bpr.org/2022-11-15/scientists-oppose-duke-energy-plans-for-more-gas-fired-plants"
"108","
        
            Scientists oppose Duke Energy plans for more gas-fired plants
        
    ","David Boraks","WUNC-FM (Chapel Hill, NC)","https://www.wunc.org/2022-11-14/scientists-oppose-duke-energy-plans-for-more-gas-fired-plants"
"109","
        
            Scientists oppose Duke Energy plans for more gas-fired plants
        
    ","David Boraks","WFAE-FM (Charlotte, NC)","https://www.wfae.org/energy-environment/2022-11-14/scientists-oppose-duke-energy-plans-for-more-gas-fired-plants"
"110","
        
            Scientists oppose Duke Energy plans for more gas-fired plants
        
    ","David Boraks","Blue Ridge Public Radio","https://www.bpr.org/2022-11-14/scientists-oppose-duke-energy-plans-for-more-gas-fired-plants"
"111","
        
            Scientists oppose Duke Energy plans for more gas-fired plants
        
    ","David Boraks","WHQR-FM (Wilmington, NC)","https://www.whqr.org/2022-11-14/scientists-oppose-duke-energy-plans-for-more-gas-fired-plants"
"112","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WBOI-FM","https://www.wboi.org/npr-news/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"113","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","All Sides with Ann Fisher","https://news.wosu.org/npr-news/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"114","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","KAXE-FM (Grand Rapids, MN)","https://www.kaxe.org/news/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"115","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WUOT News","https://www.wuot.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"116","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WUNC-FM (Chapel Hill, NC)","https://www.wunc.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"117","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WKYU-FM","https://www.wkyufm.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"118","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WAER-FM (Syracuse, NY)","https://www.waer.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"119","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","Dakota Datebook","https://news.prairiepublic.org/news-from-npr/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"120","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WPRL-FM","https://www.wprl.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"121","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","KENW-TV (Portales, NM)","https://www.kenw.org/npr-news/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"122","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WCAI-FM (Woods Hole, MA)","https://www.capeandislands.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"123","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","Jefferson Public Radio","https://www.ijpr.org/npr-news/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"124","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WVIK-FM (Rock Island, IL)","https://www.wvik.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"125","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","KSMU Radio","https://www.ksmu.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"126","
        
            Georgia bird and poultry experts work to prevent spread of deadly avian flu
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/georgia-bird-and-poultry-experts-work-to-prevent-spread-of-deadly-avian-flu/V6HYXYPP3FAHTDC4TDYDP3BGAQ/"
"127","
        
            Environmental groups sue Army Corps of Engineers over Okefenokee swamp protections
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/environmental-groups-sue-army-corps-of-engineers-over-okefenokee-swamp-protections/BQLW22H7BVGANMUUC6HAYQNP6I/"
"128","
        
            Georgia DNR limits ownership and breeding of Burmese pythons, tegus and other reptiles
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/georgia-dnr-limits-ownership-and-breeding-of-burmese-pythons-tegus-and-other-reptiles/7M4XLCOFYNASVLR55VHXAGPQOE/"
"129","
        
            Feds award Savannah-Chatham schools nearly $9.9 million to purchase electric school buses
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/feds-award-savannah-school-district-nearly-99-million-to-purchase-electric-school-buses/TEA2JH47L5GMHEKPYQK7TG5ENM/"
"130","
        
            What Georgia residents need to know about flood insurance prices and why they need it
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/what-georgia-residents-need-to-know-about-flood-insurance-prices-and-why-they-need-it/C67QNA74PBAEHL2S7A3RIU2FHE/"
"131","
        
            Georgia's gopher tortoises see long-term conservation: Photos
        
    ","Marisa Mecke","Savannah Morning News","https://www.savannahnow.com/picture-gallery/news/2022/10/21/georgias-gopher-tortoises-denied-endangered-status/10553258002/"
"132","
        
            Plant Vogtle Unit 3 starts nuclear fuel loading
        
    ","Marisa Mecke","Energy Central","https://energycentral.com/news/plant-vogtle-unit-3-starts-nuclear-fuel-loading"
"133","
        
            Gray's Reef National Marine Sanctuary celebrates upcoming downtown discovery center
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/grays-reef-national-marine-sanctuary-celebrates-upcoming-downtown-discovery-center/MWC3Y27GYJGIZAHKTKCUHRTNXE/"
"134","
        
            After decades, city and stakeholders ready to tackled E. coli contamination in Vernon River
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/after-decades-city-and-stakeholders-ready-to-tackled-e-coli-contamination-in-vernon-river/Q3MLBN5WEZFS5DVSU6KRXN3IPA/"
"135","
        
            Season closes on Georgia's little-known native fruit: the pawpaw
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/season-closes-on-georgias-little-known-native-fruit-the-pawpaw/3CDCY2HFGFDIBIWPGTI44EKIDM/"
"136","
        
            Stronger storms, longer seasons: How hurricanes will change in Georgia’s rising waters
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/stronger-storms-longer-seasons-how-hurricanes-will-change-in-georgias-rising-waters/6FHETNUHNRGGBCA6PKZGPUEHAI/"
"137","
        
            Georgia's largest ever brownfield cleanup ends. Savannah site poised for industrial growth
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/georgias-largest-ever-brownfield-cleanup-ends-savannah-site-poised-for-industrial-growth/LCIVYSNB2FBMRGT3VHL337UEHA/"
"138","
        
            Less trash on the beach? How Tybee Island's anti-litter efforts have resulted in cleaner sands
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/less-trash-on-the-beach-how-tybee-islands-anti-litter-efforts-have-resulted-in-cleaner-sands/UNKXAUEIHFDULO7W3DTOETMPWQ/"
"139","
        
            How the Inflation Reduction Act's climate change provisions may impact Georgia emissions
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/how-the-inflation-reduction-acts-climate-change-provisions-may-impact-georgia-emissions/HWZBTU4775AWNJITUTNKHSI5SM/"
"140","
        
            Georgia's record breaking sea turtle nesting season winds to a close
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/georgias-record-breaking-sea-turtle-nesting-season-winds-to-a-close/JVQBV6PIQ5BWZJKIGZAZLE5GGU/"
"141","
        
            Okefenokee Swamp mine is back on as Army Corps of Engineers settles lawsuit
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/okefenokee-swamp-mine-is-back-on-as-army-corps-of-engineers-settles-lawsuit/3NPDULSX7NHQ5CW3N3JYLUB23E/"
"142","
        
            Partnership launches acoustic monitoring buoy for whale conservation off the coast of Savannah
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/partnership-launches-acoustic-monitoring-buoy-for-whale-conservation-off-the-coast-of-savannah/UKMRK3N425B3TLCFKZOG6JW3NA/"
"143","
        
            Are monarch butterflies endangered? Georgia researchers debate need for designation
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/are-monarch-butterflies-endangered-georgia-researchers-debate-need-for-designation/JKADPQXI3VBQHHMFSJRLAN6JCE/"
"144","
        
            Urban heat islands roast Savannah each summer. What can be done to stop it?
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/urban-heat-islands-roast-savannah-each-summer-what-can-be-done-to-stop-it/RLPZSU76ENBI7NLSFXU2GDEUHA/"
"145","
        
            Interest sparked? How Georgians are gearing up to adopt EVs ahead of Hyundai plant opening
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/interest-sparked-how-georgians-are-gearing-up-to-adopt-evs-ahead-of-hyundai-plant-opening/MTNXBPG265HTPPUJYN2UJR4XGM/"
"146","
        
            How the WV v EPA Supreme Court decision will impact Georgia power plants
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","https://www.ajc.com/partner/savannah-morning-news/how-the-wv-v-epa-supreme-court-decision-will-impact-georgia-power-plants/IS3LSRC6VVEFLLYTMSGDMSU7WY/"
"147","
        
            Tybee prepares for long-term solutions to climate change, erosion, storms
        
    ","Marisa Mecke","The Atlanta Journal-Constitution","http://www.ajc.com/partner/savannah-morning-news/tybee-prepares-for-long-term-solutions-to-climate-change-erosion-storms/3WFA6WO5XFGSFGW6JMP3O6CMQM/"
"148","
        
            GA -Tybee Island prepares for hurricanes with long-term resiliency plans
        
    ","Marisa Mecke","Coastal News Today","https://www.coastalnewstoday.com/post/ga-tybee-island-prepares-for-hurricanes-with-long-term-resiliency-plans"
"149","
        
            Herschel Walker on the environment: America needs its ""gas-guzzling cars""
        
    ","Emily Jones","Grist","https://grist.org/elections/herschel-walker-environment-latest-comments/"
"150","
        
            Georgia group helps turn unused roadsides into solar fields
        
    ","Emily Jones","Longview News-Journal","https://www.news-journal.com/georgia-group-helps-turn-unused-roadsides-into-solar-fields/article_decc207e-2321-52ff-a3d5-0faa24ae1242.html"
"151","
        
            Georgia group helps turn unused roadsides into solar fields
        
    ","Emily Jones","Albany Herald","https://www.albanyherald.com/news/georgia-group-helps-turn-unused-roadsides-into-solar-fields/article_ba0ec492-628e-11ed-b9de-c77890878f90.html"
"152","
        
            Georgia group helps turn unused roadsides into solar fields
        
    ","Emily Jones","KPVI-TV (Pocatello, ID)","https://www.kpvi.com/news/national_news/georgia-group-helps-turn-unused-roadsides-into-solar-fields/article_914df083-7999-5149-9355-175e263ba944.html"
"153","
        
            Georgia group helps turn unused roadsides into solar fields
        
    ","Emily Jones","The Mcduffie Progress","https://www.mcduffieprogress.com/news/state/georgia-group-helps-turn-unused-roadsides-into-solar-fields/article_8ff233ef-a2af-591c-afa1-850bcf7b3013.html"
"154","
        
            These Red States Don't Want Climate Targets - but They Do Want Green Jobs
        
    ","Emily Jones","Reader Supported News","https://www.rsn.org/001/these-red-states-dont-want-climate-targets-but-they-do-want-green-jobs.html"
"155","
        
            These red states don't want climate targets - but they do want green jobs
        
    ","Emily Jones","Grist","https://grist.org/politics/these-red-states-dont-want-climate-targets-but-they-do-want-green-jobs/"
"156","
        
            Report makes Biblical case for addressing climate change
        
    ","Emily Jones","Longview News-Journal","https://www.news-journal.com/report-makes-biblical-case-for-addressing-climate-change/article_6bedd57c-2324-5a78-95c9-304c8ec117a3.html"
"157","
        
            Report makes Biblical case for addressing climate change
        
    ","Emily Jones","Albany Herald","https://www.albanyherald.com/features/faith/report-makes-biblical-case-for-addressing-climate-change/article_54a6baf8-30ff-11ed-a613-8fad2e36807f.html"
"158","
        
            Georgians without air conditioning endure dangerous heat
        
    ","Emily Jones","Longview News-Journal","https://www.news-journal.com/georgians-without-air-conditioning-endure-dangerous-heat/article_23caab89-1acd-5220-94d9-8a0f66ec0df5.html"
"159","
        
            Georgians without air conditioning endure dangerous heat
        
    ","Emily Jones","Albany Herald","https://www.albanyherald.com/news/georgians-without-air-conditioning-endure-dangerous-heat/article_bba74f12-2086-11ed-ba68-ef1dd90c4984.html"
"160","
        
            Regulators approve more solar, gas energy for Georgia Power
        
    ","Emily Jones","Longview News-Journal","https://www.news-journal.com/regulators-approve-more-solar-gas-energy-for-georgia-power/article_683cd203-6dc1-557c-b480-ca6f40c8bd16.html"
"161","
        
            Regulators approve more solar, gas energy for Georgia Power
        
    ","Emily Jones","Albany Herald","https://www.albanyherald.com/news/regulators-approve-more-solar-gas-energy-for-georgia-power/article_5554225e-0f8c-11ed-89a9-4bb5071a5c2f.html"
"162","
        
            Regulators approve more solar, gas energy for Georgia Power
        
    ","Emily Jones","KPVI-TV (Pocatello, ID)","https://www.kpvi.com/news/national_news/regulators-approve-more-solar-gas-energy-for-georgia-power/article_054306f3-e770-53fc-9d21-462fc18825f7.html"
"163","
        
            Georgia state regulators may stick with coal – despite Georgia Power's plan to shut it down - WABE
        
    ","Emily Jones","WABE-FM (Atlanta, GA)","https://www.wabe.org/georgia-state-regulators-may-stick-with-coal-despite-georgia-powers-plan-to-shut-it-down/"
"164","
        
            As warehousing booms and trees come down, communities struggle to find balance
        
    ","Emily Jones","WABE-FM (Atlanta, GA)","https://www.wabe.org/as-warehousing-booms-and-trees-come-down-communities-struggle-to-find-balance/"
"165","
        
            Moving beyond talking about racial justice to funding the leaders making it possible
        
    ","Emily Jones","Philanthropy News Digest","https://philanthropynewsdigest.org/features/commentary-and-opinion/moving-beyond-talking-about-racial-justice-to-funding-the-leaders-making-it-possible"
"166","
        
            Plant Vogtle co-owners sue Georgia Power over cost overruns
        
    ","Emily Jones","WABE-FM (Atlanta, GA)","https://www.wabe.org/plant-vogtle-co-owners-sue-georgia-power-over-cost-overruns/"
"167","
        
            Southern Company spent millions on misinformation despite climate change warnings, report finds
        
    ","Emily Jones","WABE-FM (Atlanta, GA)","https://www.wabe.org/southern-company-spent-millions-on-climate-misinformation-despite-early-climate-change-warnings-report-finds/"
"168","
        
            Georgia residents adjust to the growing dangers from hurricanes
        
    ","Emily Jones","Longview News-Journal","https://www.news-journal.com/georgia-residents-adjust-to-the-growing-dangers-from-hurricanes/article_e8dc5592-dcff-5467-b7f7-edf38cbea2f1.html"
"169","
        
            Georgia residents adjust to the growing dangers from hurricanes
        
    ","Emily Jones","Albany Herald","https://www.albanyherald.com/news/georgia-residents-adjust-to-the-growing-dangers-from-hurricanes/article_8f3bf988-d788-11ec-a8ef-0f181f6f466c.html"
"170","
        
            Georgians rocked by hurricanes prepare for future storms
        
    ","Emily Jones","The Current GA","https://thecurrentga.org/2022/05/16/georgians-rocked-by-hurricanes-prepare-for-future-storms/"
"171","
        
            Georgians rocked by hurricanes prepare for future storms
        
    ","Emily Jones","WABE-FM (Atlanta, GA)","https://www.wabe.org/georgians-rocked-by-hurricanes-prepare-for-future-storms/"
"172","
        
            Sea turtles begin nesting season in Georgia
        
    ","Emily Jones","WABE-FM (Atlanta, GA)","https://www.wabe.org/sea-turtles-begin-nesting-season-in-georgia/"
"173","
        
            Flood insurance rates are rising for many coastal Georgians – just like their flood risk - WABE
        
    ","Emily Jones","WABE-FM (Atlanta, GA)","https://www.wabe.org/flood-insurance-rates-are-rising-for-many-coastal-georgians-just-like-their-flood-risk/"
